City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,33.57,80,22,15.01,few clouds
1,Norman Wells,CA,65.282,-126.8329,29.03,93,100,5.06,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,56.08,90,0,10.0,clear sky
3,Mataura,NZ,-46.1927,168.8643,56.48,44,100,4.61,overcast clouds
4,Sitka,US,57.0531,-135.33,57.09,82,100,9.22,overcast clouds
5,Cape Town,ZA,-33.9258,18.4232,63.12,92,75,14.97,broken clouds
6,Ambilobe,MG,-13.2,49.05,68.72,78,52,4.83,broken clouds
7,Dikson,RU,73.5069,80.5464,28.76,94,100,9.84,overcast clouds
8,Lazaro Cardenas,MX,17.9583,-102.2,81.36,80,86,3.87,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,11.61,overcast clouds
10,Bonavista,CA,48.6499,-53.1147,52.32,81,100,18.34,overcast clouds
11,Fuerte Olimpo,PY,-21.0415,-57.8738,73.02,84,8,4.65,clear sky
12,Airai,TL,-8.9266,125.4092,77.92,39,32,2.71,scattered clouds
13,Lavrentiya,RU,65.5833,-171.0,32.07,75,100,24.87,overcast clouds
14,Sinnamary,GF,5.3833,-52.95,78.82,85,97,8.23,overcast clouds
15,Cherskiy,RU,68.75,161.3,6.15,93,55,6.6,broken clouds
16,Valle De Allende,MX,26.9333,-105.4,70.25,51,49,2.84,scattered clouds
17,Isangel,VU,-19.55,169.2667,84.31,74,40,6.91,scattered clouds
18,Codrington,AU,-38.2667,141.9667,57.18,59,100,5.82,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,68.74,63,1,17.11,clear sky
20,Vaini,TO,-21.2,-175.2,77.14,83,65,12.06,light rain
21,Hermanus,ZA,-34.4187,19.2345,59.81,89,0,12.15,clear sky
22,Butaritari,KI,3.0707,172.7902,81.37,74,16,14.7,few clouds
23,Aklavik,CA,68.2191,-135.0107,25.32,94,100,8.32,snow
24,Jamestown,US,42.097,-79.2353,53.24,64,100,3.44,overcast clouds
25,Kaka,TM,37.3482,59.6143,64.53,38,0,7.0,clear sky
26,Zatoka,UA,46.0725,30.4654,53.69,66,0,12.8,clear sky
27,Upernavik,GL,72.7868,-56.1549,35.96,96,100,15.9,light rain
28,Hilo,US,19.7297,-155.09,87.28,80,75,6.91,broken clouds
29,Westport,US,41.1415,-73.3579,57.02,75,0,1.01,clear sky
30,Barrow,US,71.2906,-156.7887,30.22,80,100,23.02,haze
31,Carballo,ES,43.213,-8.691,60.49,89,100,3.53,overcast clouds
32,Linares,CL,-35.85,-71.6,53.31,78,97,4.81,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,14.97,clear sky
34,Longyearbyen,SJ,78.2186,15.6401,21.04,79,0,12.66,clear sky
35,Roald,NO,62.5833,6.1333,51.75,87,75,17.27,light rain
36,Axim,GH,4.8699,-2.2405,76.32,88,95,3.69,overcast clouds
